replicate,calibration_success,selection_feasible,objective,n_iter,error,mu1,sigma1,lam1,p1,eta1_pos,eta1_neg,mu2,sigma2,lam2,p2,eta2_pos,eta2_neg,rho,reference_H0,p_surv_at_reference_H0,p_liq_at_reference_H0,selected_H0,selected_h0,selected_initial_leverage,selected_p_surv,selected_p_liq
0,True,True,0.005372708752955931,29,,0.16920526253869947,0.26301319442112525,851.6329027834629,0.17363732031440082,0.015243136492560467,0.0025547344725145565,-0.4301392007588327,0.33036673447040704,1284.4714882358226,0.1064738203755417,0.016604822095876572,0.002086028469801006,0.8566601861199734,1.1621119295105666,0.8766928560668465,0.12330714393315345,1.1808356852756936,0.16622239567748334,2.945934527918886,0.9052682480575949,0.09473175194240513
1,True,True,0.004407187978692514,38,,0.16621696696851063,0.24616365544599747,804.3392719108303,0.09631408734535361,0.01875456547563306,0.004238773691462019,-0.4517752460307491,0.3073673314658048,1497.8042669793829,0.06208581826038616,0.012751945103778573,0.0031288137012805395,0.8990695496353663,1.1621119295105666,0.9186736026696236,0.08132639733037639,1.1527500516280031,0.14215043689149376,3.0925550421611314,0.904045984365289,0.09595401563471095
2,True,True,0.005803741956705902,31,,0.15429003954688797,0.21681800101641668,806.9788192064881,0.36766485611772154,0.008966589485146486,0.004773071657778482,-0.3972569818931813,0.2579239598971033,936.2799772624612,0.6974138650076451,0.009382007647226123,0.011877653751642816,0.9151485715278868,1.1621119295105666,0.7972591946132491,0.20274080538675088,1.227645074688511,0.2050977608219412,2.7424518756131846,0.9033927446291371,0.0966072553708629
3,True,True,0.008683015055305417,34,,0.1677597425068181,0.21721950786573696,709.7250629280051,0.23860405395121362,0.014666210268390793,0.004734411530261963,-0.32670183190247337,0.2745809245743563,893.665595485878,0.433430798928507,0.015890201113952254,0.011329055872001025,0.8803283938796661,1.1621119295105666,0.6871518717385041,0.3128481282614959,1.3072210366903008,0.267903537933448,2.479455381554106,0.9016287721361648,0.09837122786383523
4,True,True,0.004491077348035399,27,,0.1840516273893734,0.2284274358897103,524.9890798713631,0.2598954863635209,0.01704427600094738,0.007637488015975543,-0.4057757951368508,0.2554353814001525,993.4342703796987,0.3088925945558311,0.012511740512078299,0.007756970231044409,0.867013717757344,1.1621119295105666,0.7658078323719294,0.2341921676280706,1.2463688304536382,0.22023438816250226,2.6724959925844356,0.9012456218682252,0.09875437813177479
5,True,True,0.007115505808538989,47,,0.15361012202694865,0.2651588710694612,747.6528627736923,0.24712953161247284,0.008941184827250351,0.0038719920845955683,-0.4585640903627274,0.36928159409151284,962.0698552027733,0.9989999999999999,0.0011453262858023843,0.005441666852851343,0.8386894774183156,1.1621119295105666,0.9774430110943529,0.022556988905647057,1.1106216011564674,0.10491985962403622,3.359192494597059,0.9093231796529142,0.0906768203470858
6,True,True,0.00786496857705655,35,,0.16712138005307126,0.25135045003516954,992.2923411247724,0.297446319672945,0.009797078637760338,0.004118822404847933,-0.34630442699884767,0.2984810336829056,1221.2929939125227,0.5223637100370225,0.011011651598924633,0.010105194812839833,0.9391139149872215,1.1621119295105666,0.7285242517414431,0.2714757482585569,1.2744544641013287,0.24251821575427315,2.5774961227575335,0.9035845669542918,0.09641543304570821
7,True,True,0.004823054614109365,31,,0.1349218717237692,0.2690730800205083,630.4663129827078,0.07261640869199536,0.00813440963781537,0.0009460990398902635,-0.3889630695011612,0.27580810111165466,1089.6497312684103,0.29862582176958014,0.013770086019415892,0.007120902649849369,0.8587389655051784,1.1621119295105666,0.8342659299112879,0.1657340700887121,1.2042403799821024,0.1858489781069168,2.838580287979438,0.900447483777881,0.09955251622211903
8,True,True,0.0077641298479849035,41,,0.16024629442800187,0.2191701026794541,756.0794886801312,0.41899806995466843,0.00895100412517975,0.005952514700751252,-0.48490640436383087,0.2833370116491628,1038.8914995962073,0.9989999999999999,0.0016953631524339859,0.002110362763218048,0.8617439999563793,1.1621119295105666,0.9633929178311856,0.036607082168814364,1.1199834790390308,0.11331393434020001,3.294229126087784,0.9021455577762661,0.09785444222373385
9,True,True,0.006673484843500679,31,,0.21681303105370153,0.2419708782566912,841.9775455677925,0.18890967542929823,0.019609458344851567,0.006650728065296237,-0.3811502909612715,0.3177535669076402,1291.4007622053691,0.14889721068108897,0.017653526687859033,0.005691543764632998,0.9509784312713034,1.1621119295105666,0.7217244355417455,0.2782755644582545,1.2791354030426103,0.24618438332837428,2.5627022151610688,0.9013517458167715,0.09864825418322853
10,True,True,0.00534892770314044,29,,0.1695530416443497,0.230977512337857,806.8466756051163,0.5993529606058933,0.007533322788196623,0.007912713668380526,-0.44529094556638327,0.2814351298214089,1085.6075235711492,0.5165631642878004,0.0065788863977143085,0.005989070610372777,0.9202662905697847,1.1621119295105666,0.8711022812989222,0.1288977187010778,1.1808356852756936,0.16622239567748334,2.945934527918886,0.9017628435892084,0.09823715641079156
11,True,True,0.004491585475832904,32,,0.17731835280123406,0.25808760626960575,731.9995313938681,0.17579931272387564,0.01733676711602383,0.0039778680708486905,-0.3779259409317057,0.3200194272368729,877.8207353873636,0.30310434950837994,0.01640631682724069,0.006552503650669542,0.9015143461126764,1.1621119295105666,0.7716509281736809,0.22834907182631914,1.2463688304536382,0.22023438816250226,2.6724959925844356,0.9017304710468372,0.09826952895316277
12,True,True,0.00649678385480645,43,,0.15532163527115447,0.24778150473024282,667.8523349302794,0.520623670405779,0.008130551687839023,0.004447877517221784,-0.4708931706994456,0.3301567070079294,912.0083308512839,0.9989999999999999,0.0016929223431956292,0.0056116185438142355,0.8529194207111537,1.1621119295105666,0.9771997209532334,0.022800279046766625,1.1106216011564674,0.10491985962403622,3.359192494597059,0.9078321219101878,0.0921678780898122
13,True,True,0.006742780990609324,29,,0.26707631616143374,0.22805864434462228,673.282582889492,0.48665047066690714,0.015107027947879118,0.014333052155829543,-0.4329546629916283,0.2817216341557363,1110.810794182673,0.27591451702082187,0.010539349667420551,0.00512204275264823,0.9128654429461598,1.1621119295105666,0.70069233441599,0.29930766558401,1.2978591588077373,0.2607161060832121,2.5062010331067377,0.9037592356812543,0.09624076431874573
14,True,True,0.012915674551180695,35,,0.23788080722188934,0.19542746860703705,989.4396079080441,0.3851114753086889,0.01400687164881519,0.008905077182697943,-0.38373804604152156,0.23827214689036882,1623.361348499053,0.3736736629634905,0.010596195218006664,0.006827570256078554,0.960631062558946,1.1621119295105666,0.6588472767928156,0.34115272320718437,1.325944792455428,0.28212525624792617,2.4287158899197316,0.9020939510812672,0.09790604891873278
15,True,True,0.006962490287010876,28,,0.21895448220542038,0.22967262782824713,498.4667387485843,0.3437627881722085,0.02060979523122505,0.008442190263378786,-0.3047228311410387,0.2642186459430418,836.0917104461454,0.4997425799252863,0.016189091054190204,0.013669527202243967,0.8350247501617223,1.1621119295105666,0.6172234122325889,0.3827765877674111,1.3680732429269638,0.3134033579184253,2.326365396456021,0.902893708431128,0.09710629156887196
