objective_specific,rule_id,rule,parameter_label,pbar,alpha,delta,score_name,selected_H0,selected_h0,selected_initial_leverage,selected_p_surv,selected_p_liq,selected_killed_moment_1,selected_killed_moment_2,selected_unconditional_mean,selected_unconditional_variance,selected_conditional_mean,selected_conditional_variance,objective_score
True,liquidation_constrained_pbar_0.05,liquidation_constrained,pbar=0.05; maximize initial_leverage,0.05,,,initial_leverage,1.3306257313967096,0.2856493063294931,2.4165701955509107,0.9522087182842528,0.0477912817157472,0.9283540412620512,0.9548220561202005,0.9283540412620512,0.09298083019261827,0.9749480585882637,0.0522207841142146,2.4165701955509107
True,liquidation_constrained_pbar_0.1,liquidation_constrained,pbar=0.1; maximize initial_leverage,0.1,,,initial_leverage,1.2744544641013287,0.24251821575427315,2.5774961227575335,0.9020403781939009,0.09795962180609907,0.891013065543527,0.929665339653967,0.891013065543527,0.13576105668469352,0.9877751451964343,0.0549252346818333,2.5774961227575335
True,liquidation_constrained_pbar_0.2,liquidation_constrained,pbar=0.2; maximize initial_leverage,0.2,,,initial_leverage,1.213602257864666,0.1935930095190325,2.798883621688728,0.8023699961267403,0.19763000387325969,0.8178133829651357,0.8798249557131541,0.8178133829651357,0.2110062263562743,1.0192472137703863,0.05766783898347172,2.798883621688728
True,unconditional_killed_mean_variance_alpha_0.5,unconditional_killed_mean_variance,alpha=0.5,,0.5,,,2.0,0.6931471805599453,1.639344262295082,0.9999988508608247,1.149139175260494e-06,1.000692747866339,1.0268236772863517,1.000692747866339,0.025437701654067446,1.0006938978028994,0.02543658015106165,0.9943333224528221
True,unconditional_killed_mean_variance_alpha_1,unconditional_killed_mean_variance,alpha=1,,1.0,,,2.0,0.6931471805599453,1.639344262295082,0.9999988508608247,1.149139175260494e-06,1.000692747866339,1.0268236772863517,1.000692747866339,0.025437701654067446,1.0006938978028994,0.02543658015106165,0.9879738970393053
True,unconditional_killed_mean_variance_alpha_5,unconditional_killed_mean_variance,alpha=5,,5.0,,,2.0,0.6931471805599453,1.639344262295082,0.9999988508608247,1.149139175260494e-06,1.000692747866339,1.0268236772863517,1.000692747866339,0.025437701654067446,1.0006938978028994,0.02543658015106165,0.9370984937311704
True,conditional_mean_variance_liquidation_penalty_alpha_1_delta_0,conditional_mean_variance_liquidation_penalty,alpha=1; delta=0,,1.0,0.0,,1.0684931506849316,0.06624938554120066,3.7037037037037037,0.30629294305119603,0.693707056948804,0.38509412623640976,0.5072110619512367,0.38509412623640976,0.3589135758894528,1.257273910395129,0.07522949682826652,1.2196591619809958
True,conditional_mean_variance_liquidation_penalty_alpha_20_delta_0,conditional_mean_variance_liquidation_penalty,alpha=20; delta=0,,20.0,0.0,,2.0,0.6931471805599453,1.639344262295082,0.9999988508608247,1.149139175260494e-06,1.000692747866339,1.0268236772863517,1.000692747866339,0.025437701654067446,1.0006938978028994,0.02543658015106165,0.7463280962922829
True,conditional_mean_variance_liquidation_penalty_alpha_1_delta_0.25,conditional_mean_variance_liquidation_penalty,alpha=1; delta=0.25,,1.0,0.25,,1.0684931506849316,0.06624938554120066,3.7037037037037037,0.30629294305119603,0.693707056948804,0.38509412623640976,0.5072110619512367,0.38509412623640976,0.3589135758894528,1.257273910395129,0.07522949682826652,1.0462323977437948
True,conditional_mean_variance_liquidation_penalty_alpha_1_delta_0.5,conditional_mean_variance_liquidation_penalty,alpha=1; delta=0.5,,1.0,0.5,,2.0,0.6931471805599453,1.639344262295082,0.9999988508608247,1.149139175260494e-06,1.000692747866339,1.0268236772863517,1.000692747866339,0.025437701654067446,1.0006938978028994,0.02543658015106165,0.987975033157781
